City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Wawa,NG,81.36,overcast clouds,9.9022,4.4192,
4,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Yarada,IN,84.52,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
13,Santa Cruz De Tenerife,ES,79.72,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
14,San Policarpo,PH,83.82,overcast clouds,12.1791,125.5072,Agapita M. Nicart
22,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
24,Rikitea,PF,78.48,clear sky,-23.1203,-134.9692,People ThankYou
27,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Saint George,US,81.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
31,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
34,Itarema,BR,77.7,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
40,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
48,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
61,Karratha,AU,90.63,clear sky,-20.7377,116.8463,ibis Styles Karratha
62,The Valley,AI,78.66,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
63,Soto La Marina,MX,77.77,clear sky,23.7667,-98.2167,Hotel Chicago
64,Sao Jose Da Coroa Grande,BR,78.94,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
74,Mayumba,GA,76.66,overcast clouds,-3.432,10.6554,LIKWALE LODGE
75,Siocon,PH,85.71,overcast clouds,7.7061,122.1353,ABS Hotel
78,Kahului,US,77.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
80,Lorengau,PG,83.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
94,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
104,Faanui,PF,81.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
116,Tura,IN,75.99,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
122,Calabozo,VE,77.86,overcast clouds,8.9242,-67.4293,Hotel Giardini
124,Mackay,AU,83.68,few clouds,-21.15,149.2,International Lodge Motel
130,Raybag,IN,77.7,overcast clouds,16.4833,74.7833,SHREE RAM TRADERS
133,Atuona,PF,79.74,few clouds,-9.8,-139.0333,Villa Enata
135,San Pedro,PH,88.32,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
136,Soyo,AO,78.37,overcast clouds,-6.1349,12.3689,Hotel Mpampa
146,Morondava,MG,79.63,clear sky,-20.2833,44.2833,La Case Bambou
151,Salalah,OM,77.41,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
154,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
156,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
157,Souillac,MU,76.75,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
160,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
163,Fayaoue,NC,78.42,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
164,Mana,GF,76.73,scattered clouds,5.6592,-53.7767,LE SAMANA
168,Isangel,VU,83.28,light rain,-19.55,169.2667,Tanna Lodge
170,Touros,BR,79.34,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
