City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hofn,IS,64.2539,-15.2082,44.17,72,7,8.81,clear sky
1,Ribeira Grande,PT,38.5167,-28.7,58.03,69,83,20.85,broken clouds
2,Thompson,CA,55.7435,-97.8558,32.16,32,75,2.3,broken clouds
3,Wawa,NG,9.9022,4.4192,81.36,66,100,7.36,overcast clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,100,7.2,light rain
5,Victoria,HK,22.2855,114.1577,74.17,76,99,5.99,overcast clouds
6,Yarada,IN,17.65,83.2667,84.52,84,75,4.61,broken clouds
7,Saint-Francois,FR,46.4154,3.9054,41.41,86,0,3.44,clear sky
8,Dzhuryn,UA,49.0329,25.5839,30.13,79,60,5.21,broken clouds
9,Barrow,US,71.2906,-156.7887,14.83,83,4,8.99,clear sky
10,Ushuaia,AR,-54.8,-68.3,46.06,93,100,10.36,light rain
11,Saldanha,ZA,-33.0117,17.9442,55.45,75,42,9.71,scattered clouds
12,Severo-Kurilsk,RU,50.6789,156.125,32.07,82,100,7.58,overcast clouds
13,Santa Cruz De Tenerife,ES,28.4682,-16.2546,79.72,40,40,10.36,scattered clouds
14,San Policarpo,PH,12.1791,125.5072,83.82,63,99,9.82,overcast clouds
15,Jamestown,US,42.097,-79.2353,34.02,50,1,3.0,clear sky
16,Turukhansk,RU,65.8167,87.9833,8.71,90,100,10.22,overcast clouds
17,Yuanping,CN,38.7153,112.7575,47.97,70,100,7.74,overcast clouds
18,Waipawa,NZ,-41.4122,175.5153,59.92,64,60,13.15,broken clouds
19,Hay River,CA,60.8156,-115.7999,19.38,38,20,3.44,few clouds
20,Raposa,BR,-6.5167,-44.1833,72.12,93,92,1.86,overcast clouds
21,Nikolskoye,RU,59.7035,30.7861,38.71,75,100,2.98,overcast clouds
22,Olinda,BR,-8.0089,-34.8553,83.93,65,40,5.75,scattered clouds
23,Cape Town,ZA,-33.9258,18.4232,63.01,77,0,20.71,clear sky
24,Rikitea,PF,-23.1203,-134.9692,78.48,63,2,10.27,clear sky
25,Krasnoselkup,RU,65.7,82.4667,15.17,92,100,15.66,light snow
26,Auburn,US,47.3073,-122.2284,58.84,44,100,1.99,overcast clouds
27,Kapaa,US,22.0752,-159.319,82.38,81,40,7.0,scattered clouds
28,Saint George,US,37.1041,-113.5841,81.19,11,0,11.5,clear sky
29,Mataura,NZ,-46.1927,168.8643,61.48,46,20,2.84,few clouds
30,Bethel,US,41.3712,-73.414,42.67,59,0,1.01,clear sky
31,Butaritari,KI,3.0707,172.7902,81.59,73,30,12.71,scattered clouds
32,Husavik,IS,66.0449,-17.3389,38.39,98,100,3.44,light rain
33,Kaitangata,NZ,-46.2817,169.8464,59.22,56,11,3.85,few clouds
34,Itarema,BR,-2.9248,-39.9167,77.7,88,67,5.77,broken clouds
35,Usevya,TZ,-7.1,31.2333,64.08,96,7,3.51,clear sky
36,East London,ZA,-33.0153,27.9116,64.58,83,5,13.53,clear sky
37,Bluff,NZ,-46.6,168.3333,61.81,62,68,2.71,broken clouds
38,New Norfolk,AU,-42.7826,147.0587,60.89,52,100,1.99,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,12.66,broken clouds
40,Vaini,TO,-21.2,-175.2,86.16,79,75,6.91,broken clouds
41,Hasaki,JP,35.7333,140.8333,66.29,66,100,12.03,moderate rain
42,Busselton,AU,-33.65,115.3333,63.68,59,92,4.16,overcast clouds
43,Chokurdakh,RU,70.6333,147.9167,14.13,88,36,4.83,scattered clouds
44,Ancud,CL,-41.8697,-73.8203,56.23,89,87,6.58,overcast clouds
45,Albany,US,42.6001,-73.9662,39.63,63,7,6.87,clear sky
46,Ilulissat,GL,69.2167,-51.1,-2.42,93,91,6.76,overcast clouds
47,Victor Harbor,AU,-35.5667,138.6167,63.0,78,100,13.2,overcast clouds
48,Avarua,CK,-21.2078,-159.775,80.65,74,100,5.75,overcast clouds
49,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,63,100,9.22,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,60.8,85,99,9.55,overcast clouds
51,Dudinka,RU,69.4058,86.1778,4.62,95,100,8.97,overcast clouds
52,Saint Anthony,US,45.0205,-93.218,34.93,92,100,10.36,light snow
